Month	Gross		Total Prim	Cumulative Income Base	Income Tax		Stamp Tax		Net		Agi		Total Salary	Total Cost for Employer
Jan	25000.000000	2878.200000	22121.800000		3524.360000		189.750000		18407.690000	191.880000	18599.570000	29317.300000
Feb	25000.000000	2878.200000	44243.600000		4721.412000		189.750000		17210.638000	191.880000	17402.518000	29317.300000
Mar	25000.000000	2878.200000	66365.400000		5972.886000		189.750000		15959.164000	191.880000	16151.044000	29317.300000
Apr	25000.000000	2878.200000	88487.200000		5972.886000		189.750000		15959.164000	191.880000	16151.044000	29317.300000
May	25000.000000	2878.200000	110609.000000		5972.886000		189.750000		15959.164000	191.880000	16151.044000	29317.300000
June	25000.000000	2878.200000	132730.800000		5972.886000		189.750000		15959.164000	191.880000	16151.044000	29317.300000
July	25000.000000	2878.200000	154852.600000		6521.094000		189.750000		15410.956000	191.880000	15602.836000	29317.300000
Aug	25000.000000	2878.200000	176974.400000		7742.630000		189.750000		14189.420000	191.880000	14381.300000	29317.300000
Sep	25000.000000	2878.200000	199096.200000		7742.630000		189.750000		14189.420000	191.880000	14381.300000	29317.300000
Oct	25000.000000	2878.200000	221218.000000		7742.630000		189.750000		14189.420000	191.880000	14381.300000	29317.300000
Nov	25000.000000	2878.200000	243339.800000		7742.630000		189.750000		14189.420000	191.880000	14381.300000	29317.300000
Dec	25000.000000	2878.200000	265461.600000		7742.630000		189.750000		14189.420000	191.880000	14381.300000	29317.300000
