Month	Gross		Total Prim	Cumulative Income Base	Income Tax		Stamp Tax		Net		Agi		Total Salary	Total Cost for Employer
Jan	2558.400000	383.760000	2174.640000		326.196000		19.418256		1829.025744	191.880000	2020.905744	0.000000
Feb	2558.400000	383.760000	4349.280000		326.196000		19.418256		1829.025744	191.880000	2020.905744	0.000000
Mar	2558.400000	383.760000	6523.920000		326.196000		19.418256		1829.025744	191.880000	2020.905744	0.000000
Apr	2558.400000	383.760000	8698.560000		326.196000		19.418256		1829.025744	191.880000	2020.905744	0.000000
May	2558.400000	383.760000	10873.200000		326.196000		19.418256		1829.025744	191.880000	2020.905744	0.000000
June	2558.400000	383.760000	13047.840000		326.196000		19.418256		1829.025744	191.880000	2020.905744	0.000000
July	2558.400000	383.760000	15222.480000		326.196000		19.418256		1829.025744	191.880000	2020.905744	0.000000
Aug	2558.400000	383.760000	17397.120000		326.196000		19.418256		1829.025744	191.880000	2020.905744	0.000000
Sep	2558.400000	383.760000	19571.760000		404.784000		19.418256		1750.437744	191.880000	1942.317744	0.000000
Oct	2558.400000	383.760000	21746.400000		434.928000		19.418256		1720.293744	191.880000	1912.173744	0.000000
Nov	2558.400000	383.760000	23921.040000		434.928000		19.418256		1720.293744	191.880000	1912.173744	0.000000
Dec	2558.400000	383.760000	26095.680000		434.928000		19.418256		1720.293744	191.880000	1912.173744	0.000000
